Company Name,Ticker,Net Income ,Intangibles,Inventory ,Receivables ,Asset Utilization,Inventory Turnover,Turnover,Operating Margin 12 Mo,Net Margin,Price/Sales,Current Assets ,Current Liabilities ,Pretax Income ,EBIT ,EBITDA ,Cost of Goods Sold,Annual Sales,Book Value,Common Equity,Preferred Equity,Long Term Debt ,Price/Book,Price/Cash Flow,PEG Ratio,% Rating Change - 4 Weeks,Current Avg Broker Rec,% Rating Strong Buy or Buy,% Rating Strong Sell or Sell,Industry Rank (of ABR),Rank in Industry (of ABR),Change in Avg Rec ,% Rating Hold,% Rating Upgrades ,% Change LT Growth Est. (4 weeks),% Change F1 Est. (4 weeks),P/E (F2),P/E (F1),P/E (Trailing 12 Months),Q(1) Consensus Sales Est. (Mil.),F(1) Consensus Sales Est. (Mil.),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),% Change Q0 Est. (4 weeks),% Change F2 Est. (4 weeks),% Rating Downgrades ,Beta,Market Value/# Analysts,ROA (5 Yr Avg),Current ROA (TTM),ROI (5 Yr Avg),Current ROI (TTM),Current ROE (TTM),5 Yr. Hist. EPS Growth,Long-Term Growth Consensus Est.,Relative Price Change,% Price Change (YTD),% Price Change (12 Weeks),52 Week Low,Q1 Consensus Est. ,Last Close,52 Week High,Price as a % of 52 Wk H-L Range,% Price Change (1 Week),% Price Change (4 Weeks),% Change EPS (F(-1)/F(-2)),Last Yrs Growth (F[0] / F [-1]),This Yr`s Est.d Growth (F(1)/F(0)),F2 Consensus Est.,Dividend ,Div. Yield %,5 Yr Hist. Div. Growth %,5 Yr Div. Yield %,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),St. Dev. F1 / F1 Consensus,F1 Consensus Est.,F0 Consensus Est.,% Ratio of Q1/Q0,% Ratio of Q1/prior Yr Q1 Actual Q(-3),% Change Q2 Est. (4 weeks),% Change Q1 Est. (4 weeks),Q0 Consensus Est. (last completed fiscal Qtr),St. Dev. Q1 / Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,Cash Flow ,Exchange,
ADTRAN INC,ADTN,45.79,3.49,90.11,104.05999,.82933,3.7323,5.2644,8.26,.07,1.89,379.64001,102.3,60.84999,63.16999,83.75,332.85,641.74,10.14,604.59997,0,46.2,2.18,18.46,2.32,6.9,3,12.5,12.5,24,12,0,75,0,0,-6.35,17.54,23.18,23.26,181.488,667.96997,5.45,3.4,0,-5.26,0,1.2,207.80261,11.92399,6.85,13.70199,8.57,9.11,-14.71,10,-21.17,-18.18,1.8,21.29,.27,22.1,27.47,13.12,-1.21,-4.49,66.98,1.23,16.26,1.26,.36,1.63,0,1.37,12.10448,66.98,-3.11045,.05167,.95,.7,100.74,93.79,-12.79,-9.33,.25,.03,.24,.15,69.06999,NSDQ,
ADDUS HOMECARE,ADUS,19.13999,68.77999,0,61.34999,1.7209,,5.0275,3.81,.07,.87,91.48,46.63,14.97,15.64,17.95999,198.19999,265.94,10.68,113.84999,0,0,2.12,19.1,1.45,0,3,0,0,175,16,0,100,0,0,0,18.05,21.78,23.59,77.26,302.67999,.87,8.85,0,0,0,0,124.02007,5.4639,6.59,7.526,9.23,9.27,22.52,15,-5.59,.89,5.4,19.45,.27,22.65,32.17,25.16,-.79,-3.53,-59.81,11.63,8.33,1.25,0,0,,0,-59.35265,-59.81,150.85188,.08158,1.04,.94,108,108,0,0,.24,.1,.31,.11,12.94099,NSDQ,
ADVENT SOFTWARE,ADVS,28.79999,235.21,0,58.70999,.70801,,7.04899,10.33,.08,4.2,147.64999,253.67999,38.90999,46.18999,71.52999,119.72,382.96,-1.77,-111.81,0,285,,24.29,,0,2,50,0,34,42,0,50,0,,-.49,28.9,31.46,32.25,102.02899,401.406,9.17,6.73,0,-6.36,0,1.12,821.67065,5.94129,11.65,11.87699,24.86,,17.17,,-11.09,-8.65,10.48,25.99,.25,31.93,35.5,62.46,.16,-4.57,87.32,23.44,28.48,1.11,0,.41,,.01,-21.34202,87.32,-5.29432,.00696,1.01,.74,87.93,115.91,-7.14,-5.56,.25,.03,.26,.05,67.091,NSDQ,
ADVAXIS INC,ADXS,-19.98,2.51999,0,.00818,,,,,,,20.79999,4.92999,-20.71,-19.73,-19.45001,0,,1.49,18,0,0,1.88,,,0,1,100,0,26,7,0,0,0,,0,,,,,2.25,,,0,0,0,1.15,54.15993,-294.01502,-84.94,,-120.65,-123.13,,,-35.87,-33.73,4.85,2.51,-.25,2.81,7.96,5.5,-3.1,-9.94,-2.61,,58.55,-1,0,0,,0,,-2.61,-65.67164,,-.97,-2.34,,,0,0,-.25,,-.2,,-19.70001,NSDQ,
AEGION CORP,AEGN,44.34999,543.46002,58.75999,231.77,.89222,16.33399,5.1064,4.32,.04,.7,603.84997,220.44999,59,72.16,112.48,844.39001,1091.42,19.11,726.91998,0,366.60998,1.21,9.86,1.2,-8,1.8,60,0,139,8,0,40,0,0,-1.15,12.42,14.95,17.6,365.34799,1356.74804,11.25,6.17,-.57,-.57,0,1.8,175.14993,4.67189,3.7,6.08109,4.84,6.94,5.1,12.5,.2,5.34,-2.62,19.58,.55,23.06,25.49,58.88,3.92,-3.27,-10.23,-9.29,21.42,1.86,0,0,,0,-5.36908,-10.23,-15.78049,.0217,1.54,1.26,161.76,125,.19,-.9,.35,.03,.54,.09,89.771,NSDQ,
AEGERION PHARMA,AEGR,-63.35,0,1.63999,7.57,.53706,3.53719,12.01599,-68.78,-1.3,9.43,140.50999,24.84,-63.01,-62.29001,-59.92,5.01,48.55,3.66,113.02999,0,4.01,9.08,,,0,1.25,87.5,0,12,106,0,12.5,0,,-9.08,14.06,,,50.47,179.227,,,-9.83,-14.24,0,1.07,139.91789,-190.38001,-30.15,-92.628,-43.47,-37.4,,,-54.66,-53.18,.7,26.93,-.15,33.22,97.24,8.95,14.2,2.22,29.84,15.12,56.29,2.36,0,0,,0,11.27403,29.84,-1.75073,-.1971,-.96,-1.99,44.15,33.89,-26.67,-25.93,-.42,-.51,.11,.91,-60.988,NSDQ,
ADV ENERGY INDS,AEIS,32.08,177.21,109.76999,135.8,.89961,3.19429,4.10629,12.12,.06,1.18,416.95999,122.34999,14.27999,14.27999,33.15,336.85998,547,11.6,464.45999,0,0,1.43,8.1,10.13,-7.69,2.8,20,20,57,7,0,60,0,0,-.78,10.31,12.97,9.76,145.05,579.25,21.71,21.04,0,-1.53,0,1.55,341.20471,5.4029,10.9,7.74389,15.89,15.89,10.98,1.28,-29.56,-27.38,-3.77,16.6,.31,16.6,28.88,0,-5.63,-13.77,51.78,158.33,-17.42,1.61,0,0,,0,,51.78,55.8795,.12153,1.28,.41,,105.17,-2.6,0,.25,.16,.38,.09,81.91799,NSDQ,
AERIE PHARMACT,AERI,-31.14,0,0,0,,,,,,,70.26,3.48,-31.14,-31.14,-27.87001,0,,2.67,66.97,0,0,6.53,,,0,1.67,100,0,10,85,0,0,0,,0,,,,,,,,0,0,0,,409.20999,,,,,,,,-5.49,-2.78,26.89,10.4,-.4,17.46,26.98,42.58,-18.18,-31.02,,74.25,64.69,-2.11,0,0,,,,,-108.01603,,-1.49,-2.02,,,0,0,-.37,,-.43,,-17.629,NSDQ,
AETERNA ZENTARS,AEZS,6.80999,10.6,0,1.95,,-5.2542,,,1.1,.83,45.65,7.23999,-27.24,-25.73,-24.79001,.05,6.18,.29,17.05999,0,0,3.92,,,,,,,,,,,,,,,,8.14,,,,-81.66,,,,1.31,,-23.76301,-3.09,-295.723,-11.74,-11.74,,,-18.14,-17.39,6.54,1.03,,1.14,1.7,16.42,-4.2,-12.98,108.1,10.68,,,0,0,,0,,108.1,133.36599,,,,,,,,-.26,,,,-26.3,NSDQ,
ALMOST FAMILY,AFAM,8.22,247.64999,0,61.65,1.2881,,6.89029,2.89,.02,.57,95.69999,51.13999,14.36999,14.52999,17.38999,191.25999,357.81,22.9,214.05,0,56,1.03,15.39,2,0,3,16.67,16.67,175,15,0,66.67,0,0,0,15.91,16.97,19.45,122.15299,487.225,5.12,2.66,0,-.67,0,1.44,55.60148,10.04699,3.73,12.19499,4.68,5.31,-17.82,8.5,-30.59,-27.19,10.52,18.58,.34,23.54,33.63,32.96,.86,1.25,-59.92,-31.67,12.8,1.48,0,0,,0,,-59.92,-52.43056,.0632,1.39,1.14,,122.62,0,0,.34,.09,.38,.1,14.392,NSDQ,
AFFYMETRIX INC,AFFX,-16.32,292.70001,58.04999,50.86,.66275,2.38989,6.80439,3.04,-.05,1.79,175.72999,76.94,-15.16,-2.45001,51.40999,149.36,330.4,3.67,271.54,0,131.69999,2.28,9.85,2.71,-1.05,3.2,20,40,12,168,0,40,0,0,-2.56,44.16,55.2,49.35,83.84799,341.46499,-.47,11.76,-5.56,-3.06,0,.77,122.07115,-3.53131,2.49,-4.13641,2.5,4.74,,20.4,-3.93,-2.1,13.84,3.79,.04,8.39,9.5,80.56,.24,-10.36,88.06,150,52,.19,0,0,,0,22.5569,88.06,-52.66605,.24351,.15,.15,57.14,80,0,0,.03,.35,.05,.49,61.28599,NSDQ,
ATLAS FINL HLDG,AFH,6.17999,.74,0,57.77999,.36011,,1.3434,7.44,.08,2.08,67.58999,155.58,6.25,6.25,8.09,67.36,74.03,6.94,61.68999,2,0,2.1,18.42,,0,2.33,33.33,0,203,36,0,66.67,0,,0,10.21,13.86,18.65,28.45,108.25,,73,0,0,0,2.2,83.50244,1.26069,2.68,3.841,9.02,10.36,,,-6.81,-.68,-.89,9.09,.25,14.55,15.99,79.13,.97,-4.09,113.87,-27.27,64.06,1.42,0,0,,,,113.87,95.56961,.06734,1.05,.66,,159.38,0,0,.26,.03,.31,.11,6.96,NSDQ,
ALLIANCE FIBER,AFOP,18.79999,0,10.63,11.56,.92101,5.34619,7.22819,22.11,.25,2.8,76.65,18.79,17.79999,17.79999,21.88999,46.95,76.07,4.7,81.16999,0,0,3.03,12.71,,-66.67,2.5,50,0,29,3,1,50,0,,-4.65,11.05,11.59,12.5,24.19899,97.23699,18.85,63.2,0,-5.84,0,1.51,263.22601,8.88959,21.31,10.53199,25.25,26.4,45.99,,-14.89,-5.32,-21.79,11.55,.31,14.25,22.99,23.6,-16.57,-28.61,40.5,161.76,38.2,1.29,.15,1.05,,.4,85.77239,40.5,95.02072,,1.23,.96,93.94,103.33,-9.09,-6.06,.32,,.3,,20.56299,NSDQ,
AMTRUST FIN SVC,AFSI,290.85998,665.39001,0,3551.62011,.30937,,.9484,9.41,.11,.98,4596.27978,8522.45019,375.67999,410.36999,482.41,2342.13989,2697.9,21.45,1472.5,115,560.16998,1.98,9.33,.62,0,1.4,80,0,203,9,0,20,0,0,0,8.58,9.34,10.97,921.802,3622.54394,39.8,44.65,0,.25,0,.65,1070.38,3.28819,2.91,16.01199,15.02,21.39,16.59,15,24.88,30.22,-1.55,28.62,1.07,42.57,46.21,79.31,.52,-.77,52.06,34.62,34.42,4.96,.53455,1.88,32.534,1.66,,52.06,63.42285,.05975,4.56,3.15,,136.22,0,0,1,.09,1.14,.12,340.617,NSDQ,
AGENUS INC,AGEN,-30.07,2.56999,0,.0012,.0817,142.544,52.52899,-412.41,-9.88,41.46,28.17,10.28999,-30.07,-27.65,-27.07,.52999,3.05,1.02,-4.4803,0,0,3.22,,,0,2,50,0,12,145,0,50,0,,-31.43,,,,.70999,5.21,10.48,-80.92,0,-51.02,0,1.76,204.13407,-65.228,-33.7,-176.148,-108.92,-108.93,,,19.67,24.24,31.73,2.4,-.16,3.28,5.1,32.59,-3.24,-16.96,24.62,-119.61,58.93,-.74,0,0,,0,-2.79601,24.62,-165.63605,,-.46,-1.23,133.33,66.67,-33.33,-33.33,-.11,,-.16,,-29.49301,NSDQ,
ARGO GROUP INTL,AGII,143.19999,239.8,0,1637.59997,.22686,,.91881,6.08,.1,.88,2146.60009,4530.10009,179.69999,199.89999,239.5,1251.09997,1470.2,60.16,1563,0,337.1,.83,10.66,,0,2,60,0,203,18,0,40,0,,-.28,12.57,14.11,15.22,381.875,1494.30004,-1.66,10.02,-.99,-.05,0,.65,262.01403,.57201,1.38,2.0648,4.81,5.87,-11.63,,2.57,7.68,10.19,40.47,.8,50.06,53.04,76.29,-4.01,-2.44,130.43,130.54,15.95,3.98,.58635,1.44,11.03699,1.32,,130.43,173.80496,.02965,3.55,3.03,,107.84,0,-.25,.8,.17,1.02,.09,125,NSDQ,
AGIOS PHARMACT,AGIO,-39.40001,0,0,.46999,.15525,,14.61299,-160.44,-1.54,47.73,169.74,36.93,-38.82,-38.82,-37.1,0,25.55,3.84,131.47999,0,0,10.13,,,0,1,100,0,26,15,0,0,0,,-10.69,,,,9,36,,1.76,-5.22,-15.55,0,,660.78375,,-24.91,,-41.89,-57.63,,,61.09,62.5,5.79,16.06,-.47,38.92,49.5,68.36,1.06,-11.99,-95.73,-139.83,35.34,-1.61,0,0,,,,-95.73,-96.01991,-.09274,-1.83,-1.62,,16.79,-14.5,-23.68,-.45,-.06,-.5,-.03,-37.68701,NSDQ,
AMER CAP AGENCY,AGNC,1259,0,0,2533,.01473,,.19911,83.56,.76,7.28,4777,64565,1272,1272,1996,536,1657,24.41,8530,167,910,.95,4.98,2.82,-3.45,2.5,33.33,0,138,23,.14,66.67,0,0,-4.77,9.07,14.12,7.88,327.277,1255.36206,85.85,3.76,-23.09,.87,0,.27,2051.46801,1.6747,1.36,14.857,10.2,12.14,-9.58,5,14.74,20.58,1.04,19.13,.75,23.26,24.41,78.23,-.81,2.26,-130.85,-28.83,-40.95,2.56,3.75,11.18,-14.58101,17.88,2.66512,-130.85,-1.40956,.14671,1.65,4.14,85.63,122.13,8.62,7.08,.67,.18,.77,.17,1794,NSDQ,
AGILE THERAP,AGRX,-14.32,0,0,0,,,,,,,2.25999,6.84,-14.32,-12.81001,-12.80001,0,,,-71.44001,0,9.76,,,,0,1.25,100,0,17,1,0,0,0,,0,,,,,,,,0,0,0,,55.77599,,,,,,,,,,,5.54,-.44,6,10.65,9,-10.58,-32.81,,,.31,-1.14,0,0,,,,,38.43508,-.10261,-1.59,,,,0,0,-.43,-.15,-.48,-.29,-14.311,NSDQ,
APPLIED GEN TEC,AGTC,-4.99,1.62999,0,.14,,,,,,,23.51,3.46,-4.99,-4.80001,-4.52,0,.94,,-36.18001,58.09999,0,,,,0,1,100,0,12,6,0,0,0,,0,,,,.14,1.44,,-12.78,0,0,0,,70.06151,,,,,,,,,,31.89,11.32,-.3,14.93,31.69,17.72,-4.36,-37.19,,,-7.97,-1.39,0,0,,,,,-159.89583,-.03905,-1.26,-1.17,,,0,0,-.29,-.05,-.31,-.05,-4.71001,NSDQ,
ALLIANCE HLDGS,AHGP,233.86999,0,44.20999,156.32,1.05449,22.839,12.647,10.97,.11,1.87,326.63,212.97,392.98999,420.02999,684.94,1433.43005,2205.2,14.94,855.59002,0,848.38,4.7,8.42,1.88,22.22,2.33,33.33,0,224,11,0,66.67,0,0,8.23,13.91,15.03,16.28,584.466,2334.65405,14.94,8.42,0,1.99,0,.44,2100.29321,12.024,15.07,16.18799,14.95,37.41,19.43,8,14.56,19.68,6,53.11,1.08,70.17,72,90.31,-.17,9.03,48.76,12.03,19.44,5.04,3.095,4.83,16.777,5.44,16.71632,48.76,19.28491,.01211,4.67,3.83,83.47,118.32,9.43,-.77,1.05,.02,1.16,.03,498.78298,NSDQ,
ALTRA HOLDINGS,AIMC,40.27,223.1,143.66,114.11,1.12759,4.0542,6.9503,6.03,.06,1.11,349.20001,140.07,59.33,69.91,101.84999,506.82998,722.22,10.3,269.32998,0,261.33999,3.1,11.36,1.08,0,1.75,75,0,131,12,0,25,0,-9.22,-7.59,14.42,17.51,18.36,198.533,825.82702,12.86,-1.33,0,-4.42,0,2.19,216.19766,5.53789,6.69,7.43039,9.41,17.23,31.97,16.15,-12.29,-6.63,-9.03,24.46,.44,31.95,37.85,55.94,-11.62,-15.59,62.68,7.89,11.28,2.21,.37999,1.5,,.49,54.96745,62.68,65.78838,.01449,1.83,1.63,91.15,109.38,-12.93,-11.91,.49,.03,.43,.05,75.833,NSDQ,
APOLLO INV CP,AINV,270.86999,0,0,116.65,.11456,,3.9112,52.77,.71,5.23,130.35,214.25999,270.86999,339.5,136.17999,0,381.35,8.67,2051.6101,0,1372.26,.97,,1.91,9.09,1.82,63.64,0,142,14,0,36.36,0,0,0,9.44,9.55,9.69,102.271,411.64801,.47,14.87,0,.21,0,1.25,199.57266,6.1831,6.05,6.6208,6.43,10.49,-11.2,5,-4.09,-.53,6.57,7.77,.22,8.43,9.15,47.83,-3.66,-2.66,74.93,8.54,-.79,.89,.8,9.49,-9.62431,10.73,,74.93,159.28016,.04499,.88,.9,,88.89,.5,0,.22,.04,.22,.06,-2.07201,NSDQ,
AIR METHODS CRP,AIRM,62.33,216.33,53.11,250.66999,.76682,11.29899,3.73539,9.03,.07,2.14,340.54998,162.30999,101.48999,121.80999,201.46,567.71002,881.6,9.74,367.95001,0,608.27001,5.19,13.46,1.15,2.78,1.75,75,0,,,0,25,0,0,-.39,16.35,19.88,24.21,288.30499,1015.64001,16.27,3.62,-3.54,-.32,0,1.04,495.16229,7.3628,6.93,10.168,8.79,23.55,29.61,17.33,-17.43,-13.17,-4.76,33.59,1.1,50.59,58.72,67.65,-1.11,-5.63,5.24,-31.12,53.31,3.1,0,0,,0,,5.24,-33.08642,.0671,2.55,1.75,,211.54,0,1.15,.61,.07,.56,.13,146.694,NSDQ,
AIXTRON AG-ADR,AIXG,-134.17,89.22,87.91,43.88,.36366,2.0964,7.04809,-19.66,-.53,5.6,545.21002,126.73999,-126.47001,-126.47001,-89.53,252.71,251.35,5.51,618.19,0,0,2.32,,,0,2.83,16.67,16.67,103,16,0,66.67,0,,-11.29,136.82,,,65.347,256.397,-16.98,-15.65,0,1300,0,2.29,479.41134,.70555,-6.92,2.7455,-8.93,-8.52,37.85,,-11.06,-12.05,-13.51,12.77,-.1,12.77,17.73,0,-7.13,-13.89,81.48,28.19,65.93,.09,0,0,54.32799,1.8,81.37528,81.48,28.26667,-.16979,-.46,-1.22,76.92,-333.33,-13.64,-15.39,-.1,-.44,-.08,-.42,-101.91101,NSDQ,
AKAMAI TECH,AKAM,293.48001,834.78997,0,271.98001,.54449,,6.2319,18.07,1.65,5.77,1029.70996,263.16,419.54998,419.54998,603.97998,511.07998,177.92,15.19,2629.42993,0,0,3.76,20.58,1.98,6.33,1.35,82.35,0,42,14,-.12,17.65,0,0,.7,24.62,30.07,32.62,488.859,1944.46301,16.2,-87.05,1.14,1.45,0,1.01,1270.25964,9.94769,9.56,11.001,11.01,11.9,5.47,15.17,19.76,21,9.35,43.76,.45,57.09,62.74,70.23,-4.53,-7.93,22.01,30.53,11.04,2.32,0,0,,0,26.93272,22.01,43.87685,.04034,1.9,1.63,97.55,128.21,.52,.22,.46,.08,.51,.08,496.457,NSDQ,
ACHOGEN INC,AKAO,-13.11,0,0,7.23,,,,,-.71,,19.84,10.97999,-13.11,-11.77001,-11.27001,0,18.51,4.46,-124.57,132.27,1.69,2.32,,,0,1.75,75,0,10,101,0,25,0,,0,,,,5.98799,21.97599,,3.19,0,0,0,,91.41076,,,,,,,,,,-18.07,10.34,-.2,10.34,18.95,0,-10.24,-25.02,,,4.78,-1.03,0,0,,,,,28.59477,-.33309,-1.3,,,,0,0,-.19,,-.2,,-12.61201,NSDQ,
AKORN INC,AKRX,52.36,160.33,55.97999,64.98999,.79016,2.6284,5.3575,18.9,.16,10.56,168.85,61.24,82.88999,91.52999,104.94,145.8,317.71,2.84,260.17999,0,108.75,11.99,45.93,1.64,0,1.43,85.71,0,17,13,0,14.29,0,1.75,1.25,25.47,41.98,61.82,161.022,566.14099,44.06,24.03,2.94,12.19,0,.27,1766.67395,5.6289,14.94,5.3604,17.66,25.31,80.62,25.61,31.94,38.1,37.65,14,.21,34,35.28,93.98,-2.1,.21,16.77,8.7,62,1.34,0,0,,0,,16.77,48.03506,.08729,.81,.52,,161.54,0,-2.33,.17,0,.27,.21,71.33499,NSDQ,
ALICO INC,ALCO,19.63999,0,29.39999,4.26,.48963,2.6519,11.07499,7.57,.19,2.89,59.79,11.48999,31.67,32.91999,42.59,79.98,101.66,19.22,142.72999,0,34,1.93,16.3,,,,,,,,,,,,,,,38.15,,,6.92,-20.07,,,,1.28,,3.8368,3.71,4.2371,4.13,5.13,96.91,,-9.09,-4.79,6.32,33.79,,37.01,46.96,24.45,-2.35,-6.89,48.24,-49.73,,,.31999,.65,-6.6337,.83,,48.24,6.27705,,,2.78,,,,,.11,,,,16.58799,NSDQ,
ALDER BIOPHARMA,ALDR,-20.61301,,,,,,,,-1.1,,,,,,,,18.8,,,,,,,,0,1,100,0,12,34,0,0,0,,0,,,,4.8,19,,,0,0,0,,243.19758,,,,,,,,,,57.43,9.91,-.24,15.79,20.34,56.38,-2.11,-12.13,,,-15.43,-1.14,0,0,,,,,,-.1108,-1.09,,,,0,0,-.23,-.03,-.28,-.08,,NSDQ,
ALIGN TECH INC,ALGN,64.29,85.36,13.96,113.25,.85174,11.928,5.97119,20.07,.1,6.09,544.66998,175.33,93.12999,93.12999,109.94999,162.1,660.21,8.28,633.96997,0,0,6.45,29.73,1.67,-5,1.75,62.5,0,64,14,.08,37.5,0,0,1.48,25.7,30.22,30.88,188.84899,759.52697,19.83,17.89,-.19,1.66,0,1.89,484.5491,13.612,17.09,17.461,22.26,22.26,32.1,18.05,-9.17,-6.51,11.2,42.45,.43,53.42,63.95,51.02,.36,-6.51,583.43,31.62,14.79,2.08,0,0,,0,580.38159,583.43,9.54166,.01619,1.77,1.47,100.58,108.13,.16,-2.69,.39,.02,.51,.05,144.341,NSDQ,
ALLEGIANT TRAVL,ALGT,92.26999,0,19.42,16.85,1.1878,25.46299,61.08399,9.65,.09,2,429.92001,290.64999,146.67999,156.16999,226.03999,473.01,996.15,18.44,377.30999,0,214.05999,6.41,13.54,1.35,22.86,1.8,70,10,119,15,-.29,20,0,3.65,1.02,16.85,19.9,21.22,263.6,1132.52001,15.68,9.62,9.97,1.24,0,.35,302.32131,11.003,11.46,17.14299,17.91,27.3,10.21,14.75,6.92,12.08,2.61,88.67,1.01,118.18,124.85,81.56,1.96,.46,14.42,18.72,23.24,7.01,0,0,,0,6.45382,14.42,17.40679,.05905,5.94,4.8,54.12,110.63,-4.71,-11.83,1.72,.07,1.21,.15,162.143,NSDQ,
ALIMERA SCIENCE,ALIM,-46.22001,0,1.77999,.5,.11686,1.2331,6.7336,-794.24,-24.69,54.74,18.62999,4.94,-46.22001,-45.69,-45.40001,1.86,1.87,-.56,-36.96,32.04,3.19,,,,0,1,100,0,,,0,0,0,,,,,,5.5,20.39999,,,,,0,1.33,,-247.91901,-92.81,-121.792,-329.01,,,,17.74,14.26,-1.83,1.77,,5.37,7.89,58.82,-6.77,-11.82,-97.35,-43.84,,,0,0,,0,,-97.35,-134.14388,,,-1.42,,,,,-.2,,,,-32.89401,NSDQ,
ALKERMES INC,ALKS,17.63999,630.29998,46.20999,134.14999,.35177,2.759,4.4313,10.51,.03,10.75,570.13,100.88999,5.38999,15.76,86.51999,134.3,596.33,9.29,1065.18005,0,357.54,4.63,37.77,11.27,0,2.3,50,20,12,162,0,30,0,0,0,339.23,260.42,268.56,154.42799,597.44702,32.92,3.61,0,0,0,1.12,3104.90478,-.75625,1.45,-1.0112,4.06,2.08,,23.1,.68,5.68,-4.21,30.17,.03,42.97,53.82,54.12,-5.99,-15.7,-204.25,-25.32,-72.03,.13,0,0,,0,-126.83825,-204.25,8.55384,.72854,.17,.45,-300,25,0,0,.04,.47,0,1.41,155.598,NSDQ,
ALLOT COMM LTD,ALLT,-6.45,30.21999,13.78999,25.12,.49044,2.2581,3.38509,-2.43,-.07,4.03,160.52999,26.6,-6.33,-7.05001,-.72001,26.80999,96.54,5.28,169.91999,0,0,2.33,158.22,,-6.67,2,57.14,0,,,0,42.86,0,0,,,,,29.368,116.56999,26.26,-7.83,,,0,1.8,,2.8958,-1.19,3.81369,-1.44,-1.44,22.26,40,-18.18,-18.64,-.49,12.01,,12.31,17.13,5.86,-5.96,-9.22,56.39,-125.53,,,0,0,,0,,56.39,4.16047,,,-.11,,,,,.02,,,,2.558,NSDQ,
ALNYLAM PHARMA,ALNY,-89.22001,0,0,4.23999,.06105,,26.95999,-289.4,-1.89,110.27,254.02,53.86,-91.92,-91.92,-81.7,0,47.17,14.94,270.33999,0,0,3.59,,,-8,1.8,60,0,12,157,.13,40,0,,-.34,,,,9.17099,35.63199,-17.45,-29.31,-6.58,-13.81,0,1.58,1014.48791,-15.188,-17.67,-31.57201,-23.27,-23.27,,,-19.43,-16.47,6.86,45.74,-.6,53.71,93.28,16.76,-3.68,-18.28,-219.47,2.03,-262.07,-2.77,0,0,,0,,-219.47,15.83812,-.05354,-5.25,-1.35,,205.17,-5.74,-6.89,-.54,-.15,-.65,-.14,-79.005,NSDQ,
ANALOGIC CORP,ALOG,31.12,105.58999,116.27999,113.15,.92006,2.70919,5.57149,7.04,,1.63,360.41,90.88999,44.09,44.09,61.36,333.67999,550.36,40.86,486.39001,0,0,1.74,15.04,,0,1.67,66.67,0,73,5,0,33.33,0,,0,15.62,25.26,23.43,150.6,526.09997,8.38,6.54,,0,0,.85,881.47131,4.84369,6.48,5.8288,7.68,7.72,45.08,,-22.26,-19.57,-.34,67.78,1.11,71.23,98.93,11.08,-3.7,-9.1,11.18,14.04,0,4.56,.4,.56,0,.71,,11.18,-27.74553,,2.82,2.82,,83.46,0,0,1.11,,1,,58.02799,NSDQ,
ALASKA COMM SYS,ALSK,156.38,4.65,10.13,34.2,.47042,16.075,9.3694,32.77,.45,.26,102.27999,93.52999,211.27999,251.07,298.67999,163.27999,348.92,2.75,133.16999,0,0,.65,.42,,14.29,3,0,0,146,4,0,100,0,,0,22.25,178,.89,76.86,308.67001,-.33,-5.14,0,0,0,.74,87.89105,4.1174,15.42,,106.96,106.96,79.42,,-16.91,-16.04,-5.82,1.69,.01,1.78,3.79,4.29,4.09,0,443.18,602.56,-99.64,.08,0,0,-43.84401,6.81,,443.18,798.73565,,.01,2.24,,1.25,0,0,-.01,,.02,,203.94,NSDQ,
ALTERA CORP,ALTR,440.05999,156.11,163.88,483.02999,.32624,3.65079,4.08269,24.93,.25,5.54,3852.84008,707.38,470.82,487.45001,544.35998,546.72998,1732.57,10.82,3512.06005,0,1491.45996,3.03,21.18,1.51,0,1.92,68.42,10.53,155,1,0,21.05,0,0,.27,18.02,21.49,22.45,492.57299,1930.68103,5.61,-2.83,.54,-.03,0,1.25,604.03125,15.291,8.13,20.635,9.76,13.25,1.96,14.2,-3.65,.83,1.96,30.83,.37,32.78,38.8,24.47,-3.7,-8.08,-7.62,-20.93,12.15,1.82,.5,1.83,29.774,1.06,-22.23476,-7.62,-20.96624,.01782,1.53,1.36,91.06,100.9,-5.23,-3.74,.37,.02,.38,.06,496.975,NSDQ,
ALEXZA PHARMACT,ALXA,-39.61001,0,3.44,0,.76823,5.3536,1549.19995,-75.7,-.83,1.79,30.90999,14.89,-39.61001,-38.12,-33.72001,11.19999,47.84,-1.81,-23.97,0,10.73999,,17.62,,0,1,100,0,10,23,0,0,0,,0,,,,2.29999,12.93,35.73,1075.41,0,-6.19,0,1.22,41.48139,-80.28501,-58.15,-1597.75904,,,,,-2.24,1.27,17.12,4.06,-.46,4.79,5.65,45.91,-4.39,7.64,28.16,100.89,-11500,-1.12,0,0,,0,,28.16,-41.61603,-.14267,-2.28,-2.92,,219.05,0,0,-.67,,-.38,,4.69799,NSDQ,
