Company Name,Ticker,F1 Consensus Est.,% Change LT Growth Est. (4 weeks),Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Yr's EPS (F0) Before NRI,Last Reported Fiscal Yr ,12 Mo Trailing EPS,Earnings ESP (Expected Surprise Prediction),% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),% Change Q2 Est. (4 weeks),St. Dev. F1 / F1 Consensus,F2 Consensus Est.,Beta,% Price Change (1 Week),% Price Change (12 Weeks),52 Week Low,Price as a % of 52 Wk H-L Range,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),Rank in Industry (of ABR),Industry Rank (of ABR),% Price Change (YTD),Avg Volume,Shares Outstanding ,Average Target Price,Market Cap ,Q0 Consensus Est. (last completed fiscal Qtr),St. Dev. Q1 / Q1 Consensus,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,F0 Consensus Est.,Relative Price Change,% Price Change (4 Weeks),% Rating Change - 4 Weeks,% Rating Strong Sell or Sell,% Rating Hold,Exchange,% Rating Strong Buy or Buy,Current Avg Broker Rec,Last Close,52 Week High,% Rating Upgrades ,% Rating Downgrades ,Change in Avg Rec ,Long-Term Growth Consensus Est.,Annual Sales,Net Income ,Pretax Income ,EBIT ,Net Income Growth F(0)/F(-1),12 Mo. Net Income Current/Last %,Cash Flow ,12 Mo. Net Income Current-1Q/Last-1Q %,Div. Yield %,5 Yr Div. Yield %,5 Yr Hist. Div. Growth %,Dividend ,EBITDA ,Cost of Goods Sold,Current ROI (TTM),Last Yrs Growth (F[0] / F [-1]),P/E (Trailing 12 Months),P/E (F1),P/E (F2),Price/Cash Flow,PEG Ratio,Price/Book,Market Value/# Analysts,Current ROA (TTM),ROI (5 Yr Avg),ROA (5 Yr Avg),Current ROE (TTM),Net Margin,Operating Margin 12 Mo,Turnover,Cash Ratio,5 Yr. Hist. EPS Growth,% Ratio of Q1/prior Yr Q1 Actual Q(-3),This Yr`s Est.d Growth (F(1)/F(0)),Current Ratio,Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. (Mil.),Q(1) Consensus Sales Est. (Mil.),% Ratio of Q1/Q0,% Change EPS (F(-1)/F(-2)),Quick Ratio,Price/Sales,Debt/Equity Ratio,Inventory Turnover,Asset Utilization,Receivables ,Inventory ,Intangibles,Current Assets ,Current Liabilities ,Long Term Debt ,Preferred Equity,Common Equity,Book Value,Debt/Total Capital,# of Brokers in Rating,
ABENGOA YIELD,ABY,-.08,,,,,-.18001,-.18,.67,20131231,,,0,0,0,-1.79134,1.32,,.24,-.4,34.52,46.42,,0,11,230,,263722.34,83.73,46,3118.03,,-1.41,-.01,.3,,,,-3.52,0,0,0,NSDQ,100,1.5,37.24,40.38,0,0,0,,210.9,52.59999,,,,,,,0,,,0,,,,,,,28.32,,,1.57,1559.0155,,,,,.25,,,,,,-111.19,3.05,,,360.17999,,2.78,,,,1.29,,,,,,,,,,,23.73,56.381,3,
ACADIA PHARMA,ACAD,-.85,,-29.41,-46.15,-18.89,-.22,-.22,-.44,20131231,-.66,,0,0,0,-.01861,-.5,2.66,-3.85,11.02,17.82,66.61,,0,130,10,4.04,1520346.25,99.44,33.14,2585.36,-.17,-.03,-.21,-.22,-.05,-.44,-3.01,9.2,4.76,0,14.29,NSDQ,85.71,1.43,26,30.1,0,0,0,,1.14,-37.94,-37.94,-37.94,-82.05374,-154.21,-36.348,-139.24546,0,0,,0,-36.34001,0,-23.02,-15.79,,,,,,7.35,517.07238,-22.14,-63.83801,-32.578,-23.02,-33.14,-18527.46,.45269,27.02439,,172.23,-93.18,38.46,-76.67,-45.05,.1,,93.94,-154.21,27.02,7717.5,0,,.00119,0,0,0,188.36,6.96999,0,0,182.13,3.54,0,7,
AMER CAP LTD,ACAS,.57,8.58,-55,-90.91,-79,.09,.09,.51,20131231,.19,-5.88,-2.52,-4.1,-4.51,.09219,.83,1.42,-3.71,-6.2,13.26,42.15,5.88,-4.76,24,129,-7.1,1724464.38,268.6,17.33,3902.82,.2,.11,.17,.18,.1,.83,-13.4,-6.56,0,12.5,37.5,NSDQ,50,2.13,14.53,16.28,0,0,0,6.2,487,184,232,276,-83.80282,-85.57,49,-110.19956,0,12.94,,0,169,0,.88,-57.5,76.47,25.56,17.54,83.76,4.12,.73,557.5451,.85,4.12489,4.07969,1.01,.38,12.99,,,-5.94,-285.72,11.48,,-24.61,-7.48,412.75,110.19999,190.48,-85.57,,9.57,.15,,.06578,0,0,0,389,0,791,0,5126,19.8,12.97599,8,
ARCTIC CAT INC,ACAT,2.37,0,12.9,-33.33,-15.66,.34999,.35,2.9,20140331,2.82,,0,0,0,.02011,2.74,2.77,-.39,-10.24,33.47,9.06,-5.98,0,12,83,-36.93,125050.45,12.92,42.5,464.42,.31,.03,1.29,.9,.05,2.92,-41.2,-4.54,0,0,60,NSDQ,40,2.6,35.94,60.74,0,0,0,16,730.49,39.4,60.4,60.52,-.85557,-13.19,53.58399,-.85797,1.39,.21,,.4,74.69999,579.40997,19.68,.35,12.74,15.14,13.12,9.02,.95,2.51,92.88339,11.13,13.37899,7.6152,19.68,.05,5.12,11.741,.6821,101.6,76.12,-18.14,2.09,8.77,12.84,777.75799,249.24099,369.71,-13.19,.97,.62,0,3.788,2.1758,43.31999,140.64999,0,285.29,148.53999,0,0,185.03999,14.33,0,5,
AMER CAMPUS CTY,ACC,2.36,0,3.57,3.13,.91,.57999,.58,2.24,20131231,2.31,-2.27,-.28,-.11,-.29,.00962,2.51,.23,-3.34,-7.54,31.8,51.65,1.05,-.38,11,172,12.36,637781.69,104.93,42.14,3797.49,.56,.03,.44,.68,.04,2.2,4.74,-7.84,-5.47,0,37.5,NYSE,62.5,1.88,36.19,40.3,0,0,0,4.9,657.46,104.63999,48.45,126.47,84.77838,116.69,224.069,91.49828,4.2,3.93,1.7804,1.4175,305.64999,318.64999,1.11,10.89,15.67,15.37,14.44,16.92,3.14,1.47,474.68612,1.06,.95534,.89003,2.26,.16,8.47,64.273,1.14013,11.71,111.54,5.13,1.86,33.82,20.71,720.77697,178.91999,75,116.69,1.28,5.45,1.09,,.12522,9.22999,0,0,83.43,65.08,2656.62988,0,2630.56005,24.63,52.678,8,
ACCO BRANDS CP,ACCO,.74,0,11.76,16.67,1.71,.18999,.19,.76,20131231,.78,,0,0,0,.01103,.81,2.23,-3.95,10.79,5.64,72.69,,0,2,194,8.48,966250.13,114.43,7.8,834.17,.17,.05,.25,.36,.03,.75,1.13,-5.08,0,0,60,NYSE,40,2.4,7.29,7.91,0,0,0,8.1,1765.1,77.09999,91.69999,146.39999,-33.18892,108.56,158.5,-38.7803,0,0,,0,217.19999,1220.30004,5.53,-25.49,9.35,9.85,9.03,5.23,1.22,1.11,208.5415,3.81,5.19469,3.22869,12.9,.04,5.22,4.51669,.25859,12.69,99,-2.63,1.96,.38,9.23,1687.69995,451.333,130.26,108.56,1.32,.48,1.21,4.09,.72918,471.89999,254.69999,1175.30004,841.70001,445.1,920.79998,0,702.29998,6.57,54.7,5,
ACE LIMITED,ACE,9.13,0,7.08,6.57,11.45,2.42,2.42,9.35,20131231,9.57,,0,0,0,.01705,9.33,.8,-.45,.59,91.01,87.97,.21,0,16,212,1.83,932264.19,335.7,113.64,35389.39,2.26,.05,2.24,2.22,.03,8.96,-5.08,-.19,0,0,26.67,NYSE,73.33,1.77,105.42,107.39,0,0,0,10,18742,3758,4238,4513,38.87657,5.48,3485,31.75725,2.47,2.28,19.641,1.50999,4781,12522,9.93,22.22,11.02,11.54,11.3,10.29,1.15,1.17,2949.11547,3.44,10.16699,3.1602,11.25,.2,16.82,1.09109,.03907,3.65,90.03,-2.31,.34,4.91,7.19,17905.41406,4868.85009,92.63,5.48,.34,1.81,.13,,.20452,18033,0,5404,20375,59936,3807,0,28825,89.8,11.8,15,
ATL COAST FINL,ACFC,.1,,0,150,,.01999,.02,-1.13,20131231,-.47,,0,0,0,,.25,.75,-1.25,-3.66,3.2,57.69,0,0,2,141,-8.78,14026.2,15.51,5,61.26,.02,,.03,.04,,-1.23,-14.96,-5.05,0,0,0,NSDQ,100,1,3.95,4.5,0,0,0,,35.16,-11.4,-11.4,-2.02,-71.17118,-32.89,-2.34401,-30.92754,0,.07,,0,-.35,3.29999,-.75,57.68,,39.5,15.8,,,.87,61.261,-.18,-6.07951,-1.48081,-2.2,-.32,-3.81,.08169,.2046,,-7.89,108.85,.91,-19.35,-9.29,24.11,6.17,150,-32.89,.91,1.82,1.78,.03189,.04701,395.95999,0,0,510.14999,558.09997,110,0,65.51999,4.54,63.984,1,
ACORN ENERGY IN,ACFN,,,-17.86,-34.78,-32.48,-.25,-.25,-1.14,20131231,-1.01,,,,,,,.62,-1.16,-30.77,1.4,6.15,,,,,-57.99,216846.95,22.19,5,37.94,-.28,,,,,,-60.83,-12.76,0,0,50,NSDQ,50,2,1.71,6.44,0,0,0,,21.76,-29.71,-30.83,-30.95001,-77.79773,-28.63,-21.61701,-68.4922,0,.73,,.035,-30.95001,16.6,-78.3,-22.58,,,,,,1.74,,-46.33,-27.32201,-19.42001,-78.3,-1.37,-105.13,3.33899,1.39005,,,,1.82,12.03,-13,,,,-28.63,2.26,1.9,0,3.00049,.44065,12.13,4.53999,8.15999,35.95,13.86999,0,0,31.51,.98,0,2,
AGRI BANK CHINA,ACGBY,,,,,,.64999,.65,2.09,20131231,2.25,,,,,,,.29,-3.84,2.23,9.83,45.98,,,,,-8.68,19722.85,1229.55,,13844.77,,,,,,2.07,-14.87,-4.25,0,0,0,OTC,100,1,11.26,12.94,0,0,0,,114799.3,26859.68945,34610.51171,34610.51171,16.61759,15.3,29982.58984,18.09457,5.3,,60.37799,.52121,37432.20312,38328.60937,15.85,17.42,5,,,.46,,.09,,1.18,17.22299,1.1123,20.44,.23,24.73,.1014,.33681,18.43,,,.86,11.36,20.72,81738.39062,,,15.3,.87,.12,.3,,.04762,1115447.5,0,223.16,1826073.875,2109835.5,43027.76953,0,136477.17187,119.82,23.274,1,
ARCH CAP GP LTD,ACGL,4.01,0,18.18,15.38,9.93,1.16999,1.17,4.39,20131231,4.29,-4.05,-.31,-.14,-.28,.0203,3.57,.48,.5,-6.66,52.58,21.94,3.57,-.3,43,212,-9.3,1128854.75,135.11,58.71,7315.02,.99,.12,.74,.9,.05,4.21,-15.45,-2.49,0,9.09,72.73,NSDQ,18.18,2.73,54.14,59.69,0,0,0,11,3526.16,709.72998,742.5,769.55999,19.60598,2.97,617.65301,-7.27311,0,0,,0,769.55999,2243.52001,7.87,72.83,12.62,13.51,15.16,11.71,1.23,1.08,812.77978,2.88,7.5046,2.60739,10.16,.2,15.84,.80023,.15961,3.62,92.5,-8.71,.7,1.26,1.87,3979.19799,1008.09997,63.25,2.97,.52,1.94,.23,,.18177,4278.18017,0,0,6190.60009,11981.46972,1059.31005,325,5322.49023,49.94,20.048,11,
ALUMINUM CP-ADR,ACH,,,,,,-.57,-.57,.2,20131231,,,,,,,,1.68,-6.36,14.57,8.28,51.27,,,,,18.39,217996.25,540.98,8.06,5572.09,,,,,,,10.36,-8.04,0,0,100,NYSE,0,3,10.3,12.22,0,0,0,,27363.14,121.25,142.63999,142.63999,108.8392,,80.272,,0,.07,,0,103.51,26918.77929,,107.84,,,,69.42,,.66,,,-4.53631,-2.54671,,0,,,.34498,,,,.71,15.35,,,,,,.41,,.96,6.6668,,994.28997,3801.05004,2195.81005,10185.05957,15623.11035,7476.60986,0,8672.88964,15.61,48.868,1,
ACADIA HEALTHCR,ACHC,1.46,0,87.1,0,24.55,.57999,.58,1.07,20131231,1.45,,.58,0,0,.0077,1.93,.83,3.28,10.12,38.25,81.44,0,0,4,116,7.14,269505.66,59.81,56.88,3033.22,.31,.03,.42,.44,.03,1.06,-.12,-1.15,0,0,22.22,NSDQ,77.78,1.67,50.71,53.55,0,0,0,20.2,713.41,42.56999,69.23999,106.48999,108.67647,132.35,72.92299,153.636,0,0,,0,125.83999,0,6.27,62.12,34.97,34.7,26.21,35.13,1.72,3.32,379.15237,5.62,-17.92901,-9.26071,12.66,.06,9.31,7.85449,.42933,,140,36.57,4.38,75.09,84.39,994.53601,286.544,72.41,132.35,1.27,3.82,.62,,.60391,95.87999,0,682.10998,145.11999,114.69,601.94,0,480.70999,15.29,38.305,9,
ACCRETIVE HLTH,ACHI,,0,,,,,,.29,20131231,,,,,,,,.67,.5,.5,7.15,34.5,,,,,-12.23,49490.35,97.27,10.33,782.03,.06,,,,,.31,-18.18,-1.71,0,20,60,OTC,20,3,8.04,9.73,0,0,0,15,826.28,29.15999,48.06999,48.06999,,,37.47399,,0,0,,0,56.38,630.44,,123.08,,,,21.07,,3.1,,,40.29399,12.83399,,,,,,,,,,,,,,,,,,,,,95.38999,0,1.46,305.57998,114.86,0,0,238.08,,,5,
ACHILLION PHARM,ACHN,-.69,,11.11,0,12.48,-.16,-.16,-.63,20131231,-.61,,0,0,0,-.03723,-.89,2.23,-6.07,49.73,2.43,80.72,0,0,106,10,235.64,7715204,97.79,13.11,1089.36,-.18,-.07,-.18,-.19,-.05,-.65,212.89,-5.19,0,0,10,NSDQ,90,1.2,11.14,13.22,0,0,0,,2.61,-58.94,-58.94,-58.89,-25.0849,-1.51,-56.197,-27.29669,0,0,,0,-56.14,0,-40.56,1.56,,,,,,8.56,181.55967,-37.97,-93.30001,-64.335,-40.58,,,,13.2234,,127.38,-9.26,14.52,955.47,,,,111.46,-1.51,13.27,,0,,,.47999,0,0,124.77999,9.39999,.05,0,152.94999,1.3,0,10,
ARCH COAL INC,ACI,-1.87,0,4.17,-42.86,8.24,-.46001,-.46,-1.08,20131231,-1.52,-2.38,-2.62,-.05,-.52,-.03954,-1.24,1.92,-16.25,-36.79,2.32,0,-.03,-.22,21,220,-47.87,6007713.5,212.28,3.7,492.49,-.48,-.06,-.42,-.39,-.11,-1.34,-51.4,-27.04,0,26.67,53.33,NYSE,20,3.02,2.32,5.18,0,0,0,5,3014.36,-641.83002,-1080.71998,-699.46003,6.15834,-83.85,134.121,7.85053,.43,1.95,-45.863,.11999,-232.75,2663.12988,-4.39,-200,,,,3.67,,.24,44.77181,-3.59,1.09809,.78903,-14.36,-.21,-10.91,12.35599,2.63885,-.36,4163.6,-73.48,3.28,-27.52,5.25,2918.86499,714.69598,90.51,-83.85,3.11,.17,2.52,10.609,.32892,229.57,264.16,0,1782.06994,488.22,5118,0,2253.23999,9.57,71.58,15,
ACI WORLDWIDE,ACIW,.74,0,500,-233.33,71.57,.11999,.12,.7,20131231,.75,,.5,0,0,.04512,.91,1.08,-5.41,-6.12,17.37,19.08,80,0,78,47,-16.05,427931.06,114.08,20.33,2075.11,.02,.41,.12,.55,.06,.6,-21.74,-6.96,0,20,60,NSDQ,20,3,18.19,21.67,0,0,0,20,864.93,63.86,93.15,120.37,30.75348,26.49,159.979,24.24023,0,0,,0,195.72,343.82998,7.27,.48,24.25,24.75,19.94,13.15,1.24,4.12,518.77874,5.4,9.3036,5.3674,17.62,.07,9.06,4.71659,.66704,35.15,71.15,4.5,1.16,29.76,22.5,1075.85498,259.497,102.78,26.49,1.26,2.13,1.38,,.59556,205.83,0,1098.36999,436.35998,345.6,708.07,0,543.69,4.42,57.977,5,
AXCELIS TECH,ACLS,-.13,0,14.29,-100,-29.76,-.06,-.06,-.15,20131231,-.09,25,166.67,6.17,6.67,-.12059,.01,2.58,2.56,-.5,1.54,47.42,0,13.33,3,91,-18.03,401546.91,111.59,2.88,223.17,-.07,-.27,-.04,-.02,-.25,-.13,-23.59,4.71,6.25,0,0,NSDQ,100,1.25,2,2.51,0,0,0,20,195.63,-17.14,-16.10001,-15.65,49.63267,70.35,-11.051,75.53871,0,0,,0,-10.58,127.69,-5.68,34.78,,,150,,,1.28,74.39133,-4.67,-11.29,-9.30551,-6.14,-.09,-5.13,6.15509,1.48166,,108.33,15.55,5.67,-3.81,3.03,187.07299,40.4,72.22,70.35,2.51,1.07,.08,1.37569,.9103,36.58,95.77999,0,184.89999,35.45999,14.52,0,176,1.56,7.4442,4,
AECOM TECH CORP,ACM,2.52,0,0,0,.06,.64999,.65,2.35,20130930,2.2,,0,0,0,.0091,2.63,1.58,-4.52,8.44,27.47,74.95,-.11,0,7,196,20.49,928285.88,99.48,39.38,3527.56,.65,.03,.82,.39,.22,2.37,12.32,-7,0,0,60,NYSE,40,2.2,35.46,38.13,0,0,0,9.58,8153.5,239.24,335.76998,380.5,508.53823,489.52,333.643,483.67678,0,0,,0,474.89999,7703.5,6.75,2.17,16.12,14.09,13.49,10.71,1.47,1.54,391.95123,3.79,8.2341,4.6708,10.01,.03,2.76,3.2976,.38438,5.83,107.07,7.09,1.52,-.79,6.65,8039.61181,2237.38598,126.84,489.52,1.52,.45,.43,,1.3751,2342.26,0,1894.90002,3131.60009,2053.54003,1089.06005,0,2074.09008,23.01,29.964,10,
ACCESS MIDSTRM,ACMP,1.45,0,-33.33,-51.61,-27.24,.18,.18,1.01,20131231,1.02,,.74,0,0,.23042,1.88,.43,-2.17,-1.85,46.75,82.09,0,0,6,162,11.38,320543.41,190.79,69.56,12023.9,.27,.13,.31,.85,.33,1.45,3.83,.02,0,0,20,NYSE,80,1.6,63.02,66.57,0,0,0,15,1073.22,336.01998,346.36999,463.14001,88.29924,65.23,632.195,83.58396,3.78,4.1,40.55699,1.9375,759.30999,0,4.32,-15.83,61.78,43.52,33.54,17.72,2.9,2.72,2404.78027,4.15,6.2607,6.00519,7.74,.31,28.97,6.201,.11593,-13.16,140.15,43.37,.72,76.39,29.73,1321.69299,307.63598,171.29,65.23,.84,10.37,.87,,.14317,222.39999,0,372.39001,257.92999,306.47,3249.22998,0,4352.79003,23.16,46.43399,10,
ACCENTURE PLC,ACN,4.91,0,4.13,-.96,2.42,1.25999,1.26,4.21,20140831,4.45,0,-.42,-.43,-.62,.00734,5.27,1.22,-.61,-2.03,70.28,61.64,-.3,-.57,,,-3.19,2457358,631.24,85.09,50246.86,1.1,.02,1.22,1.11,.03,4.53,-9.75,-2.47,0,0,52.94,NYSE,47.06,2.12,79.6,85.4,0,0,0,10.75,30394.29,3281.87011,4339.29003,4353.31982,28.52388,-7.36,3358.01489,,2.34,1.94,35.817,1.86,4946.33984,21010.10937,51.65,9.64,17.89,16.22,15.11,15.29,1.51,8.2,3589.06176,17.71,53.449,15.887,51.88,,9.49,5.93909,,13.92,120.59,8.32,1.46,2.07,8.02,31363.01171,7756.34423,,-7.36,,1.61,,,1.8658,4846.56982,0,1818.57995,11844.17968,8160.99023,25.6,0,5427.81982,9.71,.42985,17,
ACORDA THERAPT,ACOR,.22,0,71.43,100,58.69,.23999,.24,.41,20131231,.65,,0,0,0,.41135,.52,1.39,-1.87,-13.93,27.88,12.73,10.71,0,144,10,.51,354726.5,41.74,40.71,1225.22,.14,.58,.04,.02,.49,.41,-6.3,-10.33,0,0,66.67,NSDQ,33.33,2.33,29.35,39.43,0,0,0,10,336.43,16.44,28.86,31.03,-89.39013,-86.89,27.01099,-87.47509,0,0,,0,40.59999,66.63999,5.08,-42.25,45.15,130.44,55.9,44.85,13.04,2.45,306.30398,3.9,-2.82731,-.797,5.9,.05,7.55,12.67899,3.21171,-9.68,24.07,-45.12,7.33,10.01,46.24,368.423,94.96199,18.06,-86.89,3.53,3.45,.57,2.4579,.51678,30.78,26.17,17.45,367.32998,96.63999,3.22,0,440.35,11.99,36.37599,6,
ACTIVE POWER,ACPW,-.77,,-58.33,-58.33,-40.82,-.19,-.19,-.44,20131231,-.75,,0,0,0,,-.47,.8,-2.68,-27.46,1.97,1.47,,0,4,88,-40.63,86480.55,23.09,3.5,46.06,-.12,,-.21,-.18,,-.39,-44.65,-10.94,0,0,0,NSDQ,100,1,1.995,3.67,0,0,0,,61.7,-8.35001,-8.35001,-7.98001,-334.89588,-1189.3,-7.271,-930.91602,0,0,,0,-6.90001,42.29999,-66.1,-340,,,,,,1.99,46.06499,-37.77,-29.41501,-16.276,-66.1,-.14,-32.28,5.4432,.79833,,131.25,-75,2.35,-19.15,7.66,44.09999,10.5,110.53,-1189.3,1.34,.96,0,2.8324,1.17009,9.06999,12.02,0,34.54999,16.86,0,0,20.29999,1,0,1,
ARES COMMERCIAL,ACRE,.89,0,9.52,-15,-20.41,.23,.23,.42,20131231,.61,,0,0,0,.03622,1.11,.98,-2.42,-3.28,12.1,0,2.16,0,13,164,-7.63,126613.5,28.6,13.88,346.12,.21,.12,.22,.26,.04,.82,-13.9,-3.28,0,0,40,NYSE,60,1.8,12.1,13.89,0,0,0,5,37.6,13.76,13.93999,29.27,1500,441.73,9,2689.54345,8.26,,,1,30.20999,0,1.72,950,19.84,13.66,10.88,38.29,2.73,.86,69.22419,1.5,,,4.34,.37,30.71,.56035,.54637,,320,110.95,3.3,305.26,,76.257,20.32699,97.39,441.73,2.74,6.03,2.28,,.0489,148.86999,0,0,185.91999,67.80999,395.01998,0,406.20999,14.13,69.50499,5,
ACELRX PHARMACT,ACRX,-1.11,,-25.93,0,75.46,-.34001,-.34,-.89,20131231,-.59,,0,0,0,-.03249,-1.27,1.79,-8.97,-39.23,6.14,6.68,0,0,93,8,-41.65,615370.13,43.38,13.67,286.29,-.27,-.03,-.24,-.39,0,-1.25,-45.6,-5.58,0,0,33.33,NSDQ,66.67,1.83,6.6,13.03,0,0,0,,29.5,-23.42001,-23.42001,-21.91,29.79616,72.78,-34.71,48.04147,0,0,,0,-21.12001,0,-30.23,41.06,,,,,,5.15,95.42932,-23.21,-106.53501,-117.06601,-36.8,-.79,-80.21,,15.24198,,111.9,-24.72,10.66,1132.33,,5.47669,4.96,69.12,72.78,15.24,10.11,.4,,.28938,0,0,0,104.55999,6.86,14.35999,0,73.15,1.28,28.75799,6,
AMER CAP SNR FL,ACSF,1.07,,0,-17.39,,.28999,.29,,20131231,,,0,0,0,.01075,1.15,,-1.96,-2.53,13.25,17.24,-.58,0,3,82,,37543.2,10,15.58,135,.29,.03,.29,.29,.03,,,-3.64,0,0,0,NSDQ,100,1.33,13.5,14.7,0,0,0,,,,,,,,,,3.41,,,0,,,,,,12.58,11.74,,,.89,45,,,,,,,,,,,,1.48,,,17.533,4.55,100,,,,.91,,,,,,,,,,,15.12,47.699,3,
ACTAVIS PLC,ACT,13.28,-.26,1.48,6.08,2.67,3.42,3.42,9.5,20131231,12.17,-2.57,.09,.22,0,.00617,16.42,.36,.88,7.52,135.5,99.1,-.16,.68,9,13,43.36,1859790.75,264.26,266.15,63647.02,3.37,.02,3.11,3.39,.04,9.39,33.65,5.77,-12.12,0,6.25,NYSE,93.75,1.16,240.85,241.81,0,0,.13,15.61,8677.6,-750.40003,-638.40003,-398.60001,-871.22303,111.09,2705.69995,-813.9303,0,0,,0,934.79998,4690.70019,12.4,58.33,19.79,18.14,14.67,15.49,1.16,4.34,7955.87792,9.67,11.543,8.331,25.1,-.09,20.22,6.9189,.3774,38.18,148.75,39.79,1.98,46.71,32.32,12578.56738,3606.79003,90.9,111.09,.8,6.29,1.11,3.02329,.47843,1404.90002,1786.30004,16432.0996,4434.70019,3294.8999,8517.40039,0,9537.0996,55.5,52.589,16,
ACTUA CORP,ACTA,-1.25,,-7.14,-53.85,-175.67,-.30001,-.3,-.6,20131231,-.72,,0,0,0,,-1.21,1.76,-12.43,-27.98,14.02,12.39,0,0,3,38,-19.43,144897.34,41.18,25,618.07,-.28,,-.32,-.31,,-.46,-24.89,-17.3,0,0,0,NSDQ,100,1,15.01,22.01,0,0,0,,59.2,209.05,-44.90001,-43.42,809.7041,260.49,-10.21301,266.44662,0,0,,0,-31.72,17.75,-6.22,-106.9,,,,,,1.36,618.06701,-5.49,-.26013,-.16333,-6.29,3.53,-37.69,5.4498,7.68262,-54.69,290.91,-108.33,8.36,-64.46,7.08,80.275,20.6,106.67,260.49,7.94,8.68,0,,.14568,11.3,0,149.1,353.1,44.49,6,0,473.67001,11.06,.10753,3,
ACACIA RESEARCH,ACTG,-.04,0,-2200,-428.57,-757.14,.05,.05,-.09,20131231,-.61,,0,0,0,-4.59626,1.01,.9,-5.98,-10.16,12.67,33.78,0,0,3,42,11.28,299704.34,50.1,23.3,810.7,0,4.24,.03,.1,.85,.23,3.74,-7.01,6.67,0,20,NSDQ,80,1.4,16.18,23.06,0,0,-.1,20,130.56,-56.43001,-80.80001,-80.80001,-194.92011,-2082.39,49.205,-678.7143,3.09,.67,,.375,-26.91,147.5,-5.21,-103.86,,,15.94,16.42,,1.55,405.34948,-4.84,11.161,9.6436,-5.21,-.43,-31.1,6.0281,10.28384,52.18,-31.25,55.56,5.92,-47.93,12.84,108,15,50,-2082.39,10.53,8.69,0,,.15576,6.34,0,318.57998,273.72,26,0,0,562.19,10.43,0,5,
ACME UTD,ACU,,,,,,.72,.72,1.22,20131231,1.27,,,,,,,.39,-1.82,.9,14.17,74.64,,,,,12.48,3630.95,3.24,20,54.24,,,,,,,4.86,1.58,0,0,0,AMEX,100,1,16.76,17.64,0,0,0,,89.58,4,5.48999,5.98999,12.99435,17.27,5.203,12.86825,1.91,2.34,11.597,.31,7.19,57.75,7.36,7.96,13.2,,,10.3,,1.42,,6.09,7.3351,5.677,12.35,.04,4.57,7.8083,1.33232,10.78,,,3.59,6.17,11.51,,,,17.27,2.91,.56,.83,2.11829,1.33159,15.61999,28.20999,4.07,56.97999,9.86999,22.90999,0,35,11.78,45.29299,1,
ACURA PHARMACT,ACUR,0,,12.5,,,-.07001,-.07,-.29,20131231,-.29,,0,,0,,-.29,1.71,-12.05,-32.41,.73,0,0,0,22,13,-56.29,69662.85,48.85,1.25,35.66,-.08,,-.07,.22,,-.3,-59.25,-20.65,0,0,50,NSDQ,50,2,.73,2.03,0,0,0,,.12,-13.9,-13.9,-13.891,-43.89234,-14.18,-13.771,-19.19848,0,0,,0,-13.761,.10999,-62.63,-45,,,,,,3.47,35.659,-58.56,-31.602,-29.56501,-91.14,-113.01,-7290.26,1.8571,24.55454,,100,100,7.9,,-57.87,15.19999,.05,100,-14.18,24.73,182.87,.89,.6729,.00803,.18999,.25,0,27.45,1.1,9.6,0,17.92,.53,47.14899,2,
ACCURIDE CORP,ACW,-.01,,50,-10,2.86,.07,.07,-.8,20131231,-.37,,0,0,0,-9.89941,.28,2,-5.56,-14.83,3.14,42.69,,0,9,113,13.94,136799.84,47.72,5.5,202.81,0,-2.83,-.01,-.04,-.61,-.82,6.22,-9.77,0,0,33.33,NYSE,66.67,1.67,4.25,5.74,0,0,0,,642.88,-38.31001,-36.57,-1.55,78.47752,92.18,9.366,86.41973,0,0,,0,45.45999,598.91998,-4.64,13.98,,,14.91,21.56,,3.12,101.40299,-2.9,-32.66601,-6.68791,-33.85,-.06,-2.8,8.7746,.56028,,6.67,99.38,1.66,-30.86,3.55,698.53997,175.53999,-14.29,92.18,1.22,.31,5.24,13.13399,1.036,59.52,39.31999,226.11999,149.25999,89.98999,330.17999,0,61.88,1.36,83.982,3,
